ID,cog_num_1,cog_num_2,cog_num_3,cog_num_4,cog_num_5,cog_num_6,cog_ver_1,cog_ver_2,cog_ver_3,cog_ver_4,cog_ver_5,cog_ver_6,cog_abs_1,cog_abs_2,cog_abs_3,cog_abs_4,cog_abs_5,cog_abs_6,fdt_achiev,fdt_activ,fdt_altr,fdt_anger,fdt_anxie,fdt_assert,fdt_compet,fdt_compl,fdt_delib,fdt_depr,fdt_dutif,fdt_entit,fdt_excite,fdt_fant,fdt_gregar,fdt_impul,fdt_indiff,fdt_modest,fdt_order,fdt_self-ass,fdt_self-dis,fdt_shame,fdt_straight,fdt_tender,fdt_trust,fdt_vulner,fdt_warm
participant142,10,2,2,9,4,6,2,2,10,7,6,4,4,2,8,6,2,1,4,5,5,4,3,5,1,2,1,4,4,2,4,5,2,2,4,4,5,2,3,2,2,2,1,1,4
participant143,1,1,1,6,7,7,4,5,10,2,10,9,2,8,3,1,5,7,5,4,1,5,5,3,2,3,2,1,5,5,5,3,1,3,3,2,5,4,3,5,1,2,2,5,3
participant144,7,8,8,4,5,2,7,10,5,3,2,6,2,10,8,5,5,8,4,4,1,1,3,4,1,2,5,4,4,4,4,5,3,4,3,5,4,1,5,5,4,5,1,3,1
participant145,9,6,9,3,6,8,4,10,1,5,8,10,3,1,2,8,7,2,3,1,3,2,2,4,4,4,1,5,2,4,3,2,1,5,1,4,3,2,5,5,1,4,3,3,1
participant146,3,7,1,10,2,9,1,1,1,7,2,9,3,5,7,10,9,4,5,4,3,4,4,4,3,4,5,3,4,2,1,3,1,1,2,4,1,1,5,1,1,5,2,1,2
participant147,1,2,4,4,5,3,8,4,6,2,9,1,2,8,6,1,3,9,3,3,2,1,3,4,2,5,5,3,1,4,4,2,5,1,4,4,2,1,3,5,1,2,4,3,3
participant148,2,7,9,3,5,9,10,2,8,3,10,5,8,1,4,9,6,8,1,2,3,5,3,5,4,5,2,4,4,5,4,5,1,4,5,4,3,3,4,4,3,3,2,4,5
participant149,6,8,6,4,10,2,2,6,7,6,3,7,9,6,3,6,10,8,5,3,2,2,5,2,4,4,3,5,1,5,4,1,3,4,2,5,1,1,1,1,2,5,3,3,4
participant150,2,3,8,2,2,10,6,5,6,3,1,4,3,3,2,9,9,8,5,2,4,5,3,3,2,2,3,4,4,1,5,5,4,3,5,3,1,1,3,2,4,2,5,5,4
participant151,7,6,9,10,7,8,6,2,9,5,3,3,7,7,1,9,5,2,3,5,5,3,1,3,5,5,4,2,1,4,5,4,4,5,3,1,3,5,5,1,4,5,2,2,5
participant152,8,9,7,3,4,1,5,8,6,6,6,5,1,6,3,4,4,3,4,1,4,5,2,5,5,5,1,5,4,2,2,1,5,3,3,1,4,1,3,3,2,4,1,3,2
participant153,8,8,10,4,3,5,3,9,9,5,6,10,3,4,7,7,2,1,1,4,2,1,4,1,2,4,1,4,2,2,2,5,4,4,4,5,2,4,2,5,1,2,5,5,3
participant154,9,9,7,2,1,7,4,1,5,4,9,3,9,10,3,1,4,4,2,5,1,3,4,2,4,4,2,1,2,1,1,3,2,1,1,5,3,2,2,5,4,4,1,4,2
participant155,3,9,3,6,10,7,1,10,6,5,4,6,9,2,5,4,8,5,1,5,2,3,4,5,4,5,4,1,4,1,2,5,3,5,3,4,4,5,1,4,1,3,4,1,3
participant156,1,6,10,5,10,5,3,2,9,5,1,7,6,5,5,10,10,2,2,1,1,5,3,3,1,3,1,5,5,5,4,3,4,3,1,2,5,1,1,1,3,3,2,5,3
participant157,10,3,6,8,5,7,4,5,10,4,3,8,8,7,5,4,1,6,1,4,4,2,5,3,3,2,3,1,5,4,4,1,1,1,4,3,2,3,3,4,1,3,2,1,3
participant158,8,2,3,6,9,10,2,9,2,2,4,6,9,6,1,2,10,2,3,1,2,5,2,4,5,5,2,2,5,4,3,2,5,2,1,5,2,4,4,1,2,2,5,5,5
participant159,4,5,9,2,5,1,4,4,2,4,9,8,7,3,7,5,4,5,1,1,4,2,4,2,4,4,3,3,5,5,3,4,2,1,5,2,3,1,2,4,1,1,1,2,1
participant160,1,10,6,8,1,8,4,5,8,8,9,8,3,2,7,6,8,8,5,1,3,3,3,2,3,5,2,2,2,1,1,4,2,4,4,5,4,4,1,4,1,1,5,5,2
participant161,6,4,10,9,10,4,5,3,8,10,4,7,4,4,7,10,8,6,2,4,1,1,5,3,5,4,1,2,4,5,2,5,2,1,4,2,2,2,1,4,5,4,3,4,3
participant162,4,1,1,10,3,7,2,2,3,4,5,6,7,1,8,10,1,5,1,3,5,5,2,3,3,2,2,5,2,5,4,4,4,4,5,1,3,2,4,1,5,4,1,5,3
participant163,10,9,6,6,8,7,10,5,9,9,8,3,6,10,3,3,8,2,2,3,4,2,1,2,2,4,1,1,1,3,2,1,5,1,5,5,3,5,3,2,3,5,5,4,2
participant164,8,10,5,8,5,3,6,6,9,6,8,1,5,9,1,6,1,4,5,5,3,3,3,2,2,2,2,1,5,2,5,1,3,5,1,3,4,3,5,3,5,4,1,3,5
participant165,6,1,6,3,4,5,3,6,4,10,2,10,6,10,9,5,1,7,1,1,4,1,3,2,5,3,2,1,4,5,5,4,4,5,4,1,3,5,2,3,5,5,3,1,4
participant166,9,4,8,10,7,6,9,7,7,8,10,10,2,9,9,5,5,10,3,5,4,2,4,1,4,5,2,5,2,2,4,4,5,5,5,4,2,1,2,1,2,3,5,5,2
participant167,4,9,10,2,1,8,2,8,7,4,5,3,5,7,7,6,4,8,1,1,5,2,3,3,5,3,4,2,3,2,4,2,3,5,1,2,5,1,2,4,5,5,2,5,2
participant168,6,1,6,5,2,8,1,3,8,7,5,2,5,8,8,6,1,4,4,2,3,2,1,2,5,1,2,4,5,1,4,5,5,2,4,5,4,3,3,3,3,5,4,2,4
participant169,6,5,1,4,1,10,8,5,2,9,2,1,4,2,4,10,5,5,2,2,1,3,2,4,5,5,3,3,1,3,1,5,1,2,4,1,4,4,2,3,2,3,4,3,2
participant170,6,7,5,8,4,2,9,3,3,6,3,3,2,1,5,9,3,6,1,2,4,3,1,5,2,5,3,3,4,5,4,1,4,5,1,5,2,1,4,4,4,2,4,4,3
participant171,3,1,5,9,6,1,8,6,7,4,3,9,9,9,9,6,7,3,1,3,5,1,5,3,1,5,1,3,2,1,1,3,5,5,2,4,1,3,4,5,4,5,4,1,4
participant172,1,4,9,5,8,5,10,7,6,8,1,10,9,9,1,7,2,8,1,4,5,3,3,2,4,5,2,2,4,2,2,2,5,5,3,3,3,2,4,1,5,4,3,2,3
participant173,9,5,4,10,9,6,5,6,7,6,1,6,2,9,8,8,9,2,3,1,1,2,4,1,5,4,5,2,1,3,3,5,5,2,4,1,5,5,1,3,2,3,2,3,4
participant174,3,1,5,7,6,6,6,4,10,2,3,5,4,2,8,7,7,5,5,3,2,4,1,3,2,5,5,3,1,4,1,1,5,5,3,2,1,5,3,5,3,5,2,5,1
participant175,5,3,2,8,4,2,6,6,7,8,2,5,8,7,4,1,1,3,3,3,2,1,5,5,1,3,2,4,1,4,5,5,3,3,3,4,5,3,5,3,5,2,3,3,5
participant176,6,1,6,4,3,7,10,4,9,1,4,6,5,6,9,3,3,2,4,5,1,4,3,1,4,5,2,5,5,3,1,2,4,3,2,1,1,1,4,2,1,1,2,1,3
participant177,3,5,3,6,5,9,5,7,5,8,3,6,10,9,7,8,7,8,5,5,4,4,5,3,3,4,3,4,3,4,4,5,5,5,1,2,2,4,3,1,5,2,2,1,1
participant178,10,6,3,9,4,4,10,3,10,7,6,10,2,2,1,3,3,4,3,3,4,1,1,1,3,4,2,1,4,5,4,2,2,2,1,4,4,1,1,5,1,4,3,2,2
participant179,8,6,10,5,3,3,5,3,1,9,10,9,5,1,4,2,9,3,1,3,4,1,3,5,4,1,2,4,2,4,5,4,2,5,1,1,2,5,2,1,3,3,1,4,1
participant180,4,1,7,2,1,4,7,4,9,8,2,7,5,2,7,7,8,3,1,2,3,3,1,2,1,5,2,5,4,2,2,3,2,5,3,1,2,5,3,1,2,3,3,1,2
participant181,7,6,4,5,5,2,2,6,6,7,4,10,6,6,4,4,9,8,3,5,4,4,1,2,2,4,1,5,1,4,4,5,3,4,5,3,4,5,3,5,4,2,2,1,2
participant182,2,8,9,9,6,3,9,7,4,7,7,3,8,2,6,4,3,10,1,2,2,5,2,3,1,4,4,1,2,1,3,2,5,5,2,1,1,5,2,3,1,2,4,3,5
participant183,4,8,2,7,8,2,6,10,7,6,6,5,3,3,9,9,1,8,3,4,2,1,3,1,5,1,5,5,3,1,3,3,5,5,1,4,2,5,5,4,5,4,5,4,2
participant184,6,10,4,8,1,3,10,1,6,10,10,9,8,1,9,4,6,8,4,5,5,2,1,3,4,1,4,1,5,5,3,2,3,3,1,4,5,4,3,4,4,1,3,5,2
participant185,2,4,7,5,4,9,9,2,2,4,10,5,5,7,3,3,8,6,3,1,5,2,3,3,2,3,5,5,4,3,3,3,1,4,1,5,1,3,1,2,2,5,3,3,5
participant186,2,10,7,10,10,3,10,8,10,5,6,4,9,4,10,3,4,9,1,4,1,3,3,3,1,2,4,4,1,1,5,4,1,5,2,2,1,4,2,2,4,4,5,3,5
participant187,4,6,2,10,9,10,6,6,8,7,1,2,7,8,6,3,7,6,5,3,5,5,3,5,1,5,1,2,2,2,2,1,5,1,3,1,4,4,1,3,1,2,3,3,4
participant188,3,7,5,8,10,6,6,3,7,2,7,1,6,9,4,9,2,7,3,5,2,2,3,3,3,4,1,3,2,4,2,3,5,1,4,3,4,1,5,4,3,3,3,1,1
participant189,6,3,2,5,10,4,1,10,3,1,3,2,3,1,5,10,8,6,4,3,3,1,3,2,4,3,1,1,5,4,1,5,4,3,4,1,3,4,2,3,3,4,5,1,4
participant190,5,6,1,5,5,1,8,10,5,7,8,6,1,4,1,2,8,7,5,5,1,1,5,5,1,5,4,2,3,2,3,2,3,3,1,3,2,1,1,4,4,4,1,5,4
participant191,2,2,5,7,3,10,1,3,1,1,4,10,6,10,6,5,3,8,5,4,1,5,1,4,1,3,5,5,3,3,4,5,2,2,3,3,4,4,3,5,3,1,4,2,2
participant192,5,3,7,1,9,4,2,7,7,1,9,7,7,10,6,6,2,9,2,3,2,2,1,1,5,1,1,4,3,3,3,3,2,3,3,2,4,3,5,3,3,3,2,3,5
participant193,10,8,10,8,8,3,4,6,3,7,3,5,6,3,8,10,3,6,3,5,2,4,4,5,4,4,4,1,1,1,4,3,4,1,1,1,5,3,2,1,2,4,3,2,2
participant194,2,6,3,7,5,10,2,2,7,1,1,1,1,7,2,5,2,4,4,5,5,1,2,1,2,4,2,5,5,4,2,3,4,3,2,3,5,4,4,2,2,1,5,2,5
participant195,10,10,10,7,2,1,3,8,4,10,7,10,7,6,6,10,6,4,4,1,1,4,4,4,2,5,4,1,2,1,1,4,1,5,2,2,5,5,5,2,3,1,5,4,4
participant196,4,1,1,5,9,3,3,2,4,6,3,8,4,2,8,5,4,6,2,5,4,3,4,1,4,5,2,1,1,1,1,5,5,2,2,3,4,2,1,2,2,5,1,2,4
participant197,3,2,2,10,7,10,6,6,2,2,4,3,1,2,9,5,1,6,1,2,1,3,3,1,1,1,3,1,4,5,4,4,1,1,4,1,2,4,1,3,1,5,1,2,4
participant198,4,8,10,6,10,10,9,10,7,1,4,4,6,8,10,4,4,9,5,1,3,2,1,2,5,2,2,3,3,1,4,3,1,3,5,2,5,5,5,5,3,4,2,1,3
participant199,4,3,4,4,5,9,6,9,3,8,1,9,2,4,9,8,5,5,3,5,1,1,4,4,2,2,1,3,3,1,1,4,2,5,5,3,4,2,1,2,3,4,3,3,2
participant200,7,10,6,8,9,8,3,6,10,2,6,4,5,8,10,9,6,5,5,2,1,4,3,3,1,5,5,2,1,1,3,1,3,3,5,1,1,1,5,3,1,3,1,3,4
participant201,4,1,3,10,2,8,2,5,7,9,1,6,3,3,10,2,4,4,2,1,3,2,3,1,5,1,4,2,4,5,5,1,2,5,2,2,5,2,3,4,5,5,2,3,3
participant202,1,6,1,10,6,1,2,10,9,8,2,4,5,4,5,3,6,10,3,2,5,1,3,3,2,4,3,2,4,2,4,1,3,4,4,2,3,5,5,1,4,5,4,5,4
participant203,7,3,5,10,3,9,10,3,7,8,5,10,3,5,7,5,7,5,3,4,1,5,3,1,3,1,5,4,3,3,1,4,2,1,4,4,3,5,3,5,3,4,1,4,4
participant204,1,8,4,8,4,2,10,10,8,9,7,9,4,2,2,4,7,10,2,1,5,2,2,5,4,4,5,4,3,4,2,2,4,1,2,3,4,5,2,4,4,5,4,5,3
participant205,8,1,3,4,4,10,7,4,9,10,5,6,4,4,4,8,6,3,1,1,2,1,3,1,5,4,2,2,2,3,1,1,2,3,5,5,1,3,4,2,1,4,1,5,1
participant206,8,6,6,1,4,8,3,1,9,1,8,1,3,6,6,3,3,4,2,4,4,5,3,5,2,2,5,2,4,4,3,2,3,5,2,1,5,1,3,4,1,2,2,1,5
participant207,3,7,3,8,2,1,9,8,5,7,1,5,7,7,10,10,3,1,2,2,3,4,1,3,3,5,1,3,2,4,1,2,1,2,1,1,2,1,2,1,1,3,2,1,3
participant208,5,1,8,7,2,4,8,7,7,3,8,3,10,10,9,3,1,4,1,3,1,1,1,3,2,4,1,4,5,2,1,1,3,4,1,5,1,2,2,3,2,2,4,2,4
participant209,8,9,8,6,8,4,2,8,6,2,6,2,7,9,8,5,9,5,4,3,3,5,2,2,3,3,1,1,2,2,4,1,3,5,3,1,4,3,3,1,1,4,4,2,4
participant210,9,9,5,3,6,10,4,8,5,8,2,2,8,2,4,3,2,7,4,4,4,4,3,5,5,4,5,1,5,2,5,3,1,2,1,4,2,3,3,3,2,4,5,2,2
participant211,5,5,8,3,1,3,3,10,9,2,6,4,3,4,10,3,9,4,4,4,5,3,5,1,5,3,3,1,2,3,2,2,2,3,3,4,5,3,3,2,3,4,4,1,3
participant212,7,3,1,8,3,2,7,6,10,2,1,2,9,8,2,6,8,5,5,1,2,3,3,3,2,2,3,1,2,3,5,1,2,2,5,1,2,4,1,2,1,5,2,1,5
participant213,7,3,5,5,9,9,2,6,10,10,3,1,1,8,1,10,6,5,3,1,4,4,3,4,2,5,3,2,4,3,2,3,4,1,3,3,2,3,5,1,4,2,5,4,5
participant214,6,6,6,7,10,8,4,9,5,10,1,9,4,1,1,9,10,7,2,2,4,5,2,5,3,4,3,1,5,1,1,1,2,5,5,1,5,3,5,5,3,1,3,4,2
participant215,6,5,10,10,1,10,7,8,4,7,9,10,8,8,4,10,9,6,5,2,3,1,1,2,5,2,3,3,2,4,1,3,2,4,2,5,1,4,3,1,3,3,2,4,3
participant216,6,6,10,10,7,2,1,3,10,1,1,5,3,9,1,4,10,1,5,2,3,1,3,3,1,3,3,4,4,2,3,3,5,4,4,5,5,3,2,4,3,2,2,4,4
participant217,4,3,2,1,10,10,5,2,1,3,4,6,10,4,3,2,8,5,3,5,4,3,2,4,1,4,2,3,5,3,4,2,4,4,5,5,5,3,5,2,2,3,2,4,4
participant218,10,2,4,10,7,10,10,6,8,4,1,6,5,8,10,1,9,1,1,5,3,4,1,3,4,4,4,2,5,2,1,1,5,2,4,4,4,2,1,5,4,2,1,5,1
participant219,10,9,6,3,9,4,1,5,1,6,8,8,10,5,1,4,3,6,5,1,2,2,4,5,5,1,1,3,4,3,3,5,4,2,3,4,1,5,2,4,2,4,4,3,3
participant220,8,7,2,4,5,1,2,8,9,6,3,9,5,9,9,8,4,3,5,1,3,4,1,2,3,4,1,2,5,2,3,4,2,2,4,4,4,1,2,5,4,4,4,3,5
participant221,1,5,7,9,9,4,5,3,9,4,10,7,7,5,2,7,4,4,4,1,2,5,2,2,3,3,4,2,5,2,3,1,4,4,1,5,4,5,4,5,3,1,2,4,2
participant222,8,8,7,4,6,2,6,6,6,8,5,4,7,1,4,7,8,10,2,1,1,2,5,2,2,3,1,3,1,2,3,4,3,2,2,5,1,2,4,2,1,3,2,3,3
participant223,2,1,6,9,5,3,7,4,6,8,8,3,9,8,8,4,6,9,2,3,1,2,3,1,5,2,3,2,5,1,4,5,1,5,1,5,4,5,4,4,5,4,1,1,1
participant224,3,4,10,3,9,8,10,4,6,6,3,4,10,10,7,1,1,4,2,2,4,5,1,2,4,4,5,1,1,5,5,4,2,3,3,3,4,1,5,1,4,1,2,1,2
participant225,5,5,5,3,7,9,7,8,2,9,4,3,5,8,1,9,3,4,1,1,1,4,3,3,1,2,1,2,1,2,5,5,3,1,5,1,5,3,4,5,1,5,3,5,4
participant226,5,4,2,9,5,7,9,10,5,1,5,4,8,5,8,10,7,8,2,4,2,2,3,5,1,2,5,4,1,4,2,4,3,4,3,1,3,3,2,4,3,3,5,1,1
participant227,8,1,5,4,5,4,6,10,2,4,2,2,1,1,7,4,3,10,3,1,3,1,1,3,5,3,4,1,3,4,3,5,5,2,3,1,1,5,2,3,2,4,1,3,5
participant228,1,5,7,5,3,10,9,7,1,1,9,3,1,10,6,9,4,3,5,5,2,1,4,2,3,2,1,4,2,5,5,4,1,3,3,4,1,4,2,1,3,1,1,2,1
participant229,3,3,7,2,7,10,9,5,3,6,7,8,9,10,1,5,5,1,5,4,1,5,3,5,4,5,5,2,3,5,5,5,5,3,3,4,5,4,3,1,4,3,5,1,5
participant230,7,2,4,3,2,2,10,5,10,10,8,6,5,2,2,2,9,7,1,5,1,1,3,1,2,3,1,4,1,5,3,3,5,4,3,5,4,4,2,5,4,5,1,5,3
participant231,10,3,3,8,10,10,7,3,6,8,4,8,3,6,3,9,3,10,1,5,5,5,1,4,1,3,1,3,5,2,5,3,4,1,5,5,2,2,2,2,1,4,2,1,3
participant232,6,8,4,2,7,5,3,3,1,9,3,10,6,5,5,6,5,1,5,3,3,2,2,1,1,1,2,5,2,4,2,4,4,1,4,5,1,2,1,1,2,4,4,1,4
participant233,3,1,3,10,7,10,2,1,5,7,3,3,9,9,7,8,4,6,4,5,1,1,3,4,1,2,1,4,5,1,3,3,2,1,3,3,1,4,2,5,2,2,4,3,5
participant234,8,8,5,6,5,4,1,10,9,5,8,2,10,6,8,6,2,10,4,3,2,1,1,1,5,3,3,4,4,2,2,2,2,1,4,2,1,5,1,4,3,3,4,4,2
participant235,8,4,6,6,2,1,5,1,9,2,10,3,9,9,2,2,3,3,3,5,5,2,4,3,2,5,1,5,4,5,1,1,1,3,3,4,4,1,5,4,2,4,1,2,4
participant236,9,2,8,2,4,8,3,10,2,1,9,4,5,4,3,2,3,8,3,3,2,4,5,2,1,2,5,2,2,4,5,2,4,1,1,3,1,3,4,5,2,4,1,2,1
participant237,10,9,7,5,7,4,5,6,7,5,3,3,6,8,2,9,6,8,5,5,5,2,1,3,4,2,5,1,3,1,5,2,3,5,2,5,5,2,5,2,5,3,3,4,2
participant238,1,2,10,5,3,3,3,4,2,9,6,3,10,10,1,2,4,3,3,4,1,4,4,3,2,5,2,3,1,4,1,3,1,5,1,2,2,4,2,4,1,1,4,5,3
participant239,2,9,7,7,6,9,10,4,7,1,4,1,1,10,6,4,8,1,2,4,3,2,1,2,2,4,2,5,3,1,2,5,2,1,4,1,3,2,3,5,2,5,4,3,1
participant240,1,6,3,3,5,2,3,8,7,8,5,9,2,1,1,7,6,9,1,2,4,2,5,1,1,5,3,2,2,4,1,3,2,2,3,2,4,2,1,1,1,4,4,3,2
participant241,4,1,6,5,8,7,4,10,10,5,7,8,2,3,9,2,5,2,1,3,3,4,2,4,3,1,2,1,1,2,3,1,2,1,2,3,4,2,1,2,4,2,1,3,5
participant242,8,4,1,2,2,8,9,4,8,10,9,4,6,10,5,8,5,2,3,4,4,4,3,2,2,4,3,2,4,4,1,5,4,2,5,2,3,5,1,2,4,3,1,1,4
participant243,8,10,4,7,10,9,2,9,8,8,9,4,9,4,2,4,8,6,2,4,4,5,1,2,1,4,5,2,4,5,3,3,2,3,5,5,1,4,5,2,2,5,1,3,3
participant244,9,7,5,5,3,6,4,7,1,3,9,8,1,1,4,7,3,3,4,1,2,1,4,4,5,4,3,1,4,4,4,3,4,1,5,3,1,3,3,2,3,3,4,4,2
participant245,3,10,3,6,7,4,1,5,5,8,6,6,9,5,2,9,5,7,2,4,4,2,5,5,3,1,1,4,2,3,4,1,5,4,5,3,5,4,4,3,1,1,4,3,2
participant246,3,5,1,6,5,8,3,5,2,5,2,2,6,8,5,1,9,1,1,1,4,4,4,5,1,2,4,2,5,2,4,5,2,3,4,2,4,4,2,3,4,5,3,1,5
participant247,4,5,2,9,2,8,2,1,5,9,10,10,6,6,9,10,5,5,3,1,5,2,5,1,2,5,5,2,2,1,5,1,1,1,2,2,3,3,4,3,4,1,2,1,1
participant248,2,2,9,4,8,1,9,1,4,5,3,1,4,7,3,5,5,8,1,5,4,4,4,4,3,5,1,2,4,5,1,1,1,2,3,1,3,4,5,3,5,2,3,5,4
participant249,9,6,7,2,1,7,8,10,2,10,4,6,10,3,1,3,10,1,5,2,5,3,3,3,3,2,5,4,5,3,4,5,2,5,1,1,3,5,2,3,3,2,4,4,4
participant250,7,3,10,1,8,8,2,8,2,1,6,8,3,2,9,7,2,8,4,3,4,2,1,3,4,4,1,5,4,5,3,4,5,5,4,4,2,1,4,4,5,2,3,2,5
participant251,2,1,10,10,9,4,8,3,6,6,3,2,3,2,1,7,3,5,2,4,3,1,2,1,4,3,3,3,2,2,4,1,3,3,2,4,4,3,5,3,3,2,4,2,1
participant252,2,2,6,2,1,1,5,6,8,2,1,6,3,4,4,10,1,3,1,1,4,3,1,5,2,1,2,5,5,1,4,5,2,2,2,5,3,2,5,3,3,4,3,1,2
participant253,4,5,2,9,7,10,8,4,5,10,8,9,3,2,1,5,7,10,1,5,1,4,2,5,2,2,1,4,3,1,4,3,5,5,5,4,5,1,2,1,4,3,5,1,1
participant254,2,2,7,4,10,9,3,10,4,2,8,7,3,5,4,3,10,2,3,5,1,2,3,5,3,4,1,4,5,4,3,1,1,3,3,4,4,5,4,2,2,4,3,3,4
participant255,5,7,3,6,9,1,6,10,2,8,2,1,7,8,2,5,10,1,5,2,3,4,5,3,1,2,4,1,1,5,4,4,2,2,3,4,4,2,4,1,5,2,1,1,1
participant256,2,8,5,2,1,1,10,7,1,7,1,3,9,7,5,8,2,8,3,2,2,2,1,5,5,4,1,5,4,3,1,5,5,1,1,1,3,2,5,1,3,3,1,3,3
participant257,3,4,5,3,6,3,8,9,10,10,4,5,1,9,1,5,8,5,2,1,3,5,3,1,2,5,1,4,1,5,5,4,2,3,5,3,3,1,5,3,5,2,2,5,5
participant258,8,6,10,4,8,3,10,3,8,2,10,6,10,2,2,3,1,10,3,5,5,1,3,3,1,2,3,1,3,3,3,4,1,1,3,4,1,3,3,3,4,3,4,5,1
participant259,5,10,7,7,8,10,7,9,8,6,4,7,8,2,10,1,1,10,2,4,2,5,3,2,4,1,2,1,3,3,1,4,4,2,2,1,2,3,2,3,3,1,3,4,3
participant260,1,8,7,5,10,3,8,10,1,5,7,2,8,4,9,2,5,3,2,3,3,3,1,3,3,5,3,1,1,2,2,2,1,1,3,1,5,5,3,3,1,4,1,5,5
participant261,6,9,8,10,2,10,3,3,8,2,8,10,4,2,7,9,10,1,3,3,3,3,3,2,2,5,2,2,5,1,1,5,1,2,1,5,1,2,2,4,2,4,1,2,4
participant262,4,10,2,10,9,10,6,3,5,7,7,3,8,7,1,4,5,9,2,5,2,2,5,2,1,4,1,1,1,2,4,1,2,5,5,3,5,4,5,4,5,3,3,1,4
participant263,5,3,4,6,1,10,8,2,9,5,10,6,3,1,1,2,2,3,4,2,2,3,1,1,5,5,2,3,1,4,5,5,3,5,2,1,2,5,4,3,1,4,1,1,3
participant264,10,9,1,8,1,9,8,4,1,6,2,8,7,1,8,8,6,9,2,2,5,3,1,2,4,5,1,1,3,1,1,2,3,4,1,1,1,1,3,3,3,2,4,5,5
participant265,5,8,1,7,6,10,9,2,1,5,6,8,1,1,6,10,5,3,2,3,1,3,1,1,3,2,5,5,4,3,5,1,1,2,5,3,2,1,1,3,1,4,4,3,5
participant266,3,10,4,9,4,10,1,5,9,1,5,7,7,6,9,10,5,10,3,2,1,1,5,4,3,4,2,2,2,5,5,5,1,3,1,5,4,5,5,5,3,2,2,4,3
participant267,5,8,7,1,1,5,1,2,3,7,2,8,9,10,1,9,10,1,4,5,2,3,1,3,3,2,1,2,5,1,4,3,2,3,4,1,2,1,2,5,2,4,3,3,5
participant268,3,4,4,3,8,5,2,4,3,7,6,10,8,1,4,9,7,2,5,1,4,2,4,5,5,1,2,5,3,1,2,4,1,3,3,5,1,2,2,4,3,1,2,1,3
participant269,3,5,4,9,10,6,9,9,1,9,4,6,10,7,9,5,10,1,5,4,1,2,4,2,1,5,4,1,3,4,5,3,1,4,4,1,1,1,5,4,1,4,1,2,5
participant270,4,5,7,5,3,1,9,8,5,9,1,5,3,4,6,2,2,5,4,5,5,1,3,4,4,4,2,5,1,4,3,2,1,2,1,2,4,2,4,5,4,1,2,4,4
participant271,2,7,9,8,4,7,7,4,3,2,2,7,1,8,8,9,10,2,2,5,3,4,3,3,4,4,3,3,2,5,3,3,2,5,5,5,2,2,4,2,5,5,4,5,4
participant272,2,6,7,6,8,10,5,10,9,8,7,1,2,1,4,2,6,10,2,5,4,5,3,4,2,5,4,2,1,3,2,3,2,3,5,2,1,1,5,3,2,5,5,4,1
participant273,3,2,3,1,9,7,2,5,8,5,4,10,1,10,7,2,8,1,1,2,2,5,2,5,3,1,3,1,4,3,2,2,1,2,2,3,5,2,1,4,1,3,5,1,1
participant274,9,10,8,7,7,10,10,10,8,8,9,1,4,5,5,4,4,4,2,2,3,1,3,1,1,4,2,3,5,3,2,3,1,2,1,1,4,5,3,4,1,2,3,4,1
participant275,7,9,2,5,5,1,10,10,9,1,1,7,6,5,1,7,9,5,3,2,2,1,4,4,1,5,4,4,5,4,4,2,2,5,1,2,5,4,5,5,4,4,2,5,2
participant276,1,3,3,6,5,2,4,10,7,3,10,10,2,4,7,9,9,6,2,2,2,1,1,5,4,4,2,2,4,1,4,5,4,1,1,4,1,3,2,4,4,5,3,2,1
participant277,9,10,2,4,1,5,5,10,5,4,7,6,10,3,7,3,5,8,4,2,1,1,2,5,5,5,5,1,5,3,4,2,4,3,4,2,4,4,3,2,3,1,5,2,2
participant278,8,5,4,2,3,10,1,10,6,9,2,3,2,2,7,5,3,4,2,3,4,5,5,5,4,2,4,2,2,2,2,3,2,4,5,3,5,4,1,1,3,2,4,4,5
participant279,8,10,10,1,9,3,7,2,3,5,5,10,7,5,10,8,6,4,3,1,3,5,3,5,3,2,4,1,3,5,3,4,5,5,3,3,3,5,4,5,1,2,2,3,3
participant280,3,10,8,9,5,9,5,3,1,1,7,10,10,5,2,10,4,6,4,4,5,2,4,4,5,4,2,2,4,1,3,3,1,4,1,1,3,4,5,4,3,2,2,1,3
participant281,10,10,10,5,2,4,10,5,5,8,8,3,4,7,3,9,8,1,5,1,4,1,1,1,4,1,5,1,1,1,1,4,5,2,5,2,3,2,3,5,3,2,2,4,2
participant282,4,9,4,3,1,7,8,7,5,8,3,8,2,4,10,10,3,2,4,4,3,1,4,1,5,3,5,3,5,5,3,5,5,2,2,2,3,3,4,3,5,2,3,4,4
participant283,7,2,2,7,5,6,1,2,9,4,5,3,6,7,8,9,7,1,4,5,2,5,2,1,3,1,1,4,5,1,5,2,1,2,2,3,2,3,5,2,5,5,2,3,1
participant284,1,2,9,8,1,7,10,10,6,8,5,9,7,7,8,9,6,10,4,1,1,2,2,4,3,1,5,2,4,5,5,2,4,1,5,5,3,3,3,5,5,4,2,4,2
participant285,1,9,1,5,6,2,2,1,6,9,3,10,2,8,8,5,8,9,4,2,3,3,2,1,2,2,5,3,4,1,2,2,4,1,1,5,5,5,4,3,4,5,2,2,5
participant286,10,10,2,8,2,6,8,1,2,6,1,1,9,9,9,10,3,4,5,4,2,2,1,5,3,3,3,1,4,3,4,4,4,1,2,2,5,5,2,4,5,4,3,1,4
